param_regressor__max_depth,param_regressor__min_samples_leaf,param_regressor__min_samples_split,Mean CV MAE,Std CV MAE,Mean Train MAE,rank_test_score
15,8,4,875637.910075906,54670.30313302989,681406.41626942,176
15,8,5,875637.910075906,54670.30313302989,681406.41626942,176
15,8,8,875637.910075906,54670.30313302989,681406.41626942,176
15,8,2,875637.910075906,54670.30313302989,681406.41626942,176
20,8,2,876025.2525601543,54186.1316226281,681486.0455152392,182
20,8,8,876025.2525601543,54186.1316226281,681486.0455152392,182
,8,2,876025.2525601543,54186.1316226281,681486.0455152392,182
,8,8,876025.2525601543,54186.1316226281,681486.0455152392,182
,8,15,876025.2525601543,54186.1316226281,681486.0455152392,182
,8,4,876025.2525601543,54186.1316226281,681486.0455152392,182
,8,5,876025.2525601543,54186.1316226281,681486.0455152392,182
20,8,4,876025.2525601543,54186.1316226281,681486.0455152392,182
20,8,10,876025.2525601543,54186.1316226281,681486.0455152392,182
20,8,5,876025.2525601543,54186.1316226281,681486.0455152392,182
20,8,15,876025.2525601543,54186.1316226281,681486.0455152392,182
,8,10,876025.2525601543,54186.1316226281,681486.0455152392,182
7,1,8,876988.2920858631,72480.6837121626,630113.2644992359,194
8,2,15,878614.6014159784,65858.35839971683,653003.3388561695,195
12,8,4,880933.8899849044,55292.53122524924,687647.4654535515,196
12,8,10,880933.8899849044,55292.53122524924,687647.4654535515,196
12,8,15,880933.8899849044,55292.53122524924,687647.4654535515,196
12,8,5,880933.8899849044,55292.53122524924,687647.4654535515,196
12,8,8,880933.8899849044,55292.53122524924,687647.4654535515,196
12,8,2,880933.8899849044,55292.53122524924,687647.4654535515,196
10,1,20,880988.5390169432,72802.40408697103,626545.9801202345,202
7,3,5,887823.5398484424,60339.19229025175,664951.6710426582,203
7,3,2,887823.5398484424,60339.19229025175,664951.6710426582,203
7,3,4,887823.5398484424,60339.19229025175,664951.6710426582,203
8,1,15,888797.9228981728,48738.3111266285,647756.7405139649,206
8,5,5,891077.9280157273,91264.32987577636,653011.4768947047,207
8,5,2,891077.9280157273,91264.32987577636,653011.4768947047,207
